Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nickeil Alexander-Walker,25,MIN,SG,82,20,23.4,2.9,6.6,0.439,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8
Sam Merrill,27,CLE,SG,61,1,17.5,2.6,6.4,0.402,0.4,0.5,0.929,0.4,1.6,2,1.8,0.3,0.1,0.3,1.2,8
Derrick Rose,35,MEM,PG,24,7,16.6,3.2,6.9,0.461,1,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8
Dario Šarić,29,GSW,C,64,9,17.2,2.8,6.1,0.466,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8
Trayce Jackson-Davis,23,GSW,PF,68,16,16.6,3.4,4.9,0.702,1.1,1.9,0.561,2,3,5,1.2,0.4,1.1,0.7,1.6,7.9
Dante Exum,28,DAL,PG,55,17,19.8,2.9,5.5,0.533,1,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8
Markelle Fultz,25,ORL,PG,43,18,21.2,3.6,7.6,0.472,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1,0.3,1.2,1.5,7.8
Isaiah Hartenstein,25,NYK,C,75,49,25.3,3.1,4.9,0.644,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8
Jordan Hawkins,21,NOP,SG,67,10,17.3,2.6,6.8,0.382,1,1.2,0.838,0.4,1.8,2.2,1,0.3,0.1,0.6,1.1,7.8
Royce O'Neale,30,MULTI,SF,79,14,24.7,2.7,6.8,0.397,0.3,0.4,0.686,0.8,4,4.8,2.8,0.7,0.6,0.9,2.2,7.7
RaiQuan Gray,24,SAS,PF,3,0,13,3.3,5.7,0.588,0,0,,0.7,1.7,2.3,2,0.3,0.3,0.3,0,7.7
Nikola Jović,20,MIA,PF,46,38,19.5,2.8,6.1,0.452,0.7,1,0.702,0.5,3.6,4.2,2,0.5,0.3,0.9,1.8,7.7
Precious Achiuwa,24,MULTI,PF,74,18,21.9,3.2,6.3,0.501,0.9,1.5,0.616,2.6,4,6.6,1.3,0.6,0.9,1.1,1.9,7.6
Toumani Camara,23,POR,PF,70,49,24.8,2.8,6.3,0.45,1.1,1.4,0.758,2,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5
Cody Martin,28,CHO,SF,28,22,26.9,2.9,7.7,0.381,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5
Brice Sensabaugh,20,UTA,SF,32,11,18.3,2.7,6.8,0.39,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5
Cameron Payne,29,MULTI,PG,78,10,16.7,2.7,6.2,0.432,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6,7.4
Christian Braun,22,DEN,SG,82,4,20.2,2.7,5.9,0.46,1.1,1.6,0.694,1,2.8,3.7,1.6,0.5,0.4,0.7,1.7,7.3
Jaden Hardy,21,DAL,SG,73,7,13.5,2.7,6.6,0.407,0.8,1,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1,7.3
Taylor Hendricks,20,UTA,PF,40,23,21.4,2.7,6,0.45,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3
Paul Reed,24,PHI,C,82,24,19.4,3.2,5.9,0.54,0.7,1,0.718,2.4,3.6,6,1.3,0.8,1,0.8,2.4,7.3
Lamar Stevens,26,MULTI,PF,38,3,14.7,2.8,6.3,0.45,1.1,1.4,0.778,0.9,2.4,3.3,0.7,0.6,0.6,0.6,1.2,7.2
Johnny Juzang,22,UTA,SG,20,5,18.6,2.6,5.5,0.464,0.5,0.7,0.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5,7.2
Kevin Knox,24,DET,SF,31,11,18.1,2.8,6,0.462,0.6,0.7,0.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2
Trey Lyles,28,SAC,PF,58,0,20,2.5,5.5,0.445,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2
Jose Alvarado,25,NOP,PG,56,0,18.4,2.5,6.2,0.412,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1
Naji Marshall,26,NOP,SF,66,1,19,2.6,5.6,0.463,1,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1,1.4,7.1
Landry Shamet,26,WAS,SG,46,5,15.8,2.6,6,0.431,0.8,1,0.826,0.3,1,1.3,1.2,0.5,0.2,0.7,1.7,7.1
James Wiseman,22,DET,C,63,6,17.3,3,4.8,0.613,1.1,1.6,0.706,1.7,3.6,5.3,0.9,0.2,0.6,1,2.2,7.1
Vasilije Micić,30,MULTI,PG,60,21,19.6,2.7,6.2,0.43,1,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.7,1.1,7
Jordan Nwora,25,MULTI,SF,52,1,13.7,2.7,5.8,0.462,0.8,1,0.83,0.5,2.3,2.9,1.2,0.5,0.3,1,0.9,7
Quentin Grimes,23,MULTI,SG,51,18,20.1,2.4,6.4,0.372,0.7,0.9,0.756,0.3,1.7,2,1.3,0.7,0.1,0.5,1.5,7
Javon Freeman-Liberty,24,TOR,PG,22,6,18.3,2.5,5.6,0.444,1.5,1.6,0.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7
Evan Fournier,31,MULTI,SG,32,0,18.1,2.5,6.9,0.357,0.9,1.1,0.806,0.2,1.7,1.8,1.5,0.9,0.2,0.7,1.5,6.9
Gary Harris,29,ORL,SG,54,27,24,2.4,5.5,0.441,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9
Killian Hayes,22,DET,PG,42,31,24,2.8,6.7,0.413,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
Bones Hyland,23,LAC,PG,37,5,14.6,2.6,6.8,0.386,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9
Mãozinha Pereira,23,MEM,SF,7,1,17.4,2.6,5,0.514,1,1.4,0.7,1.6,3.7,5.3,0.3,0.9,0.6,0.7,1.4,6.9
Trendon Watford,23,BRK,PF,63,2,13.6,2.6,4.9,0.527,1.2,1.5,0.794,0.8,2.3,3.1,1.3,0.4,0.3,1,1.7,6.9
Aaron Wiggins,25,OKC,SG,78,4,15.7,2.7,4.8,0.562,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9
Christian Wood,28,LAL,PF,50,1,17.4,2.5,5.3,0.466,1.3,1.9,0.702,0.8,4.3,5.1,1,0.3,0.7,1,1.4,6.9
Trey Jemison,24,MULTI,C,25,14,22.9,3,5.4,0.551,0.8,1,0.84,2.6,2.8,5.4,1.1,0.5,1.1,1.4,2.8,6.8
Julian Champagnie,22,SAS,SF,74,59,19.8,2.2,5.4,0.408,1,1.2,0.815,0.6,2.2,2.8,1.4,0.6,0.6,0.8,1,6.8
Jonathan Isaac,26,ORL,PF,58,2,15.8,2.5,4.9,0.51,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8
Cedi Osman,28,SAS,SF,72,3,17.6,2.6,5.3,0.479,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8
Day'Ron Sharpe,22,BRK,C,61,1,15.1,2.8,4.8,0.571,1.2,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8
Cason Wallace,20,OKC,SG,82,13,20.6,2.6,5.4,0.491,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8
Robert Williams,26,POR,C,6,0,19.8,2.8,4.3,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Dāvis Bertāns,31,MULTI,PF,43,1,15.7,2.1,5.4,0.393,0.7,0.8,0.909,0.2,1.2,1.4,0.8,0.6,0.3,0.4,1.3,6.7
Jahmi'us Ramsey,22,TOR,SG,7,1,17.3,2.6,5.9,0.439,0.7,0.9,0.833,0.6,2.6,3.1,1.1,1,0,1,1.4,6.7
Peyton Watson,21,DEN,SF,80,4,18.6,2.6,5.6,0.465,0.9,1.3,0.67,0.7,2.5,3.2,1.1,0.5,1.1,0.7,1.8,6.7
Amir Coffey,26,LAC,SF,70,13,20.9,2.4,5,0.472,0.9,1,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6
Aaron Holiday,27,HOU,PG,78,1,16.3,2.4,5.3,0.446,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6
Dennis Smith Jr.,26,BRK,PG,56,2,18.9,2.6,6,0.435,0.8,1,0.741,0.9,2,2.9,3.6,1.2,0.2,1.2,2.2,6.6
Chimezie Metu,26,MULTI,C,51,12,16.8,2.4,4.8,0.504,1.1,1.3,0.906,0.8,3,3.8,0.9,0.8,0.3,1,1.4,6.5
Jordan Goodwin,25,MULTI,PG,57,12,18.5,2.5,6.7,0.369,0.8,1,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1,1.3,6.5
David Roddy,22,MULTI,PF,65,13,18.1,2.5,6.3,0.403,0.7,1,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1,6.5
David Duke Jr.,24,SAS,SG,4,0,12.8,2.5,4.5,0.556,0.8,0.8,1,0.5,2,2.5,1.3,0.5,0,0.8,1,6.5
Jeff Green,37,HOU,PF,78,6,16.8,2.1,4.7,0.456,1.6,1.9,0.819,0.6,1.7,2.3,0.9,0.2,0.4,0.6,1.3,6.5
Isaiah Jackson,22,IND,C,59,3,13.1,2.6,3.9,0.665,1.2,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3,6.5
Marcus Morris,34,MULTI,PF,49,7,16.7,2.4,5.4,0.439,0.7,0.9,0.818,0.5,2.3,2.7,0.7,0.3,0.3,0.6,1.5,6.4
Kyle Anderson,30,MIN,PF,79,10,22.6,2.5,5.5,0.46,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4
Chris Boucher,31,TOR,PF,50,0,14.1,2.2,4.3,0.507,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4,6.4
Jared Butler,23,WAS,SG,40,0,14.2,2.5,5,0.488,0.8,0.9,0.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5,6.3
Bruno Fernando,25,ATL,C,45,2,15.2,2.4,4.2,0.583,1.4,2.1,0.667,1.3,3,4.3,1,0.6,0.6,1,2.4,6.3
Daniel Theis,31,MULTI,C,60,3,16.9,2.6,4.9,0.532,0.6,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3
Jaylen Nowell,24,MULTI,SG,13,1,16.5,2.6,6,0.436,0.5,0.7,0.778,0.5,1.4,1.8,1.5,0.3,0.2,0.5,1.2,6.2
Patrick Beverley,35,MULTI,PG,73,13,20,2.2,5.2,0.417,1,1.2,0.822,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2
Jae Crowder,33,MIL,PF,50,25,23.1,2.3,5.4,0.422,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2
Keon Johnson,21,BRK,SG,5,0,12.2,1.6,4.2,0.381,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1,1,6.2
Haywood Highsmith,27,MIA,PF,66,26,20.7,2.3,5,0.465,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1
Vit Krejci,23,ATL,PG,22,14,24.6,2.3,4.7,0.49,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1
Kris Murray,23,POR,SF,62,29,21.7,2.3,5.9,0.396,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1
Ben Simmons,27,BRK,PG,15,12,23.9,2.9,4.9,0.581,0.4,1,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1
Zavier Simpson,26,MEM,PG,7,0,23,2.4,7.7,0.315,0.4,0.6,0.75,0.6,2.3,2.9,3.6,1,0.4,1.4,1.6,6
Tosan Evbuomwan,22,MULTI,SF,17,8,21.6,2.1,4.2,0.507,1,1.5,0.68,1.1,2.5,3.5,0.9,0.4,0.3,0.5,1.4,5.9
Justin Champagnie,22,WAS,SF,15,1,15.7,2.1,5.2,0.41,0.8,1,0.8,1.3,2.3,3.5,1.3,0.7,0.6,0.7,0.9,5.9
Nick Smith Jr.,19,CHO,SG,51,0,14.3,2.2,5.7,0.391,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9
Ochai Agbaji,23,MULTI,SG,78,28,21,2.3,5.6,0.411,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8
Noah Clowney,19,BRK,PF,23,4,16.1,2.2,4,0.538,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8
Dyson Daniels,20,NOP,PG,61,16,22.3,2.3,5.1,0.447,0.6,0.9,0.642,1,2.9,3.9,2.7,1.4,0.4,1,1.7,5.8
Danilo Gallinari,35,MULTI,SF,49,0,12.9,1.7,3.9,0.437,1.7,2,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1,5.7
Thomas Bryant,26,MIA,C,38,4,11.6,2.3,3.9,0.577,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7
Torrey Craig,33,CHI,SF,53,14,19.8,2,4.7,0.43,0.5,0.7,0.75,1.3,2.8,4.1,1.1,0.6,0.4,0.6,2.1,5.7
Larry Nance Jr.,31,NOP,C,61,0,19.9,2.3,4,0.573,0.8,1,0.77,1.5,3.5,5,1.9,1,0.3,0.8,1.6,5.7
Pat Connaughton,31,MIL,SF,76,3,22.1,2,4.6,0.435,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6
Craig Porter Jr.,23,CLE,PG,51,6,12.7,2.3,4.5,0.509,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6
Mitchell Robinson,25,NYK,C,31,21,24.8,2.4,4.1,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6
Malachi Flynn,25,MULTI,PG,69,0,12.7,2,4.7,0.418,0.8,1,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1,5.5
Doug McDermott,32,MULTI,SF,64,0,14.1,1.9,4.4,0.433,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0,0.4,1,5.5
Dexter Dennis,24,DAL,SG,4,0,7.5,2.5,4.8,0.526,0.3,0.8,0.333,0.3,2,2.3,1,0,0.3,0.8,0.3,5.5
Gary Payton II,31,GSW,SG,44,0,15.5,2.3,4.2,0.563,0.3,0.5,0.609,1,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5
Neemias Queta,24,BOS,C,28,0,11.9,2.4,3.7,0.644,0.7,1,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5
Ricky Council IV,22,PHI,SG,32,0,9,1.7,3.5,0.482,1.7,2.2,0.746,0.4,1,1.4,0.5,0.3,0,0.2,0.5,5.4
Kris Dunn,29,UTA,PG,66,32,18.9,2.2,4.7,0.47,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1,0.4,1.2,2,5.4
Keon Ellis,24,SAC,SG,57,21,17.2,1.9,4.1,0.461,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2,5.4
Cam Reddish,24,LAL,SF,48,26,20.5,1.9,4.9,0.389,0.9,1.1,0.759,0.6,1.5,2.1,1,1,0.3,0.6,1.3,5.4
Matt Ryan,26,NOP,SF,28,1,13.9,1.8,4,0.434,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0,0.7,1.1,5.4
Matisse Thybulle,26,POR,SF,65,19,22.9,1.9,4.9,0.397,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4
Sasha Vezenkov,28,SAC,PF,42,0,12.2,2,4.5,0.44,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1,5.4
Dean Wade,27,CLE,PF,54,32,20.5,1.8,4.3,0.414,0.4,0.5,0.769,0.7,3.4,4,0.8,0.7,0.5,0.4,1.7,5.4
Darius Bazley,23,MULTI,PF,9,0,16.9,2,3.3,0.6,1.1,1.3,0.833,0.9,2.2,3.1,0.8,0.7,0.8,0.9,0.3,5.3
Xavier Tillman Sr.,25,MULTI,PF,54,15,18,2.2,5.2,0.434,0.4,0.9,0.44,1.3,2.6,3.9,1.4,0.9,0.8,0.6,1.4,5.3
Nicolas Batum,35,MULTI,PF,60,38,25.5,1.9,4.3,0.453,0.3,0.4,0.714,1.2,3,4.1,2.1,0.8,0.6,0.7,1.8,5.3
Luke Kornet,28,BOS,C,63,7,15.6,2.3,3.2,0.7,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3
Davion Mitchell,25,SAC,PG,72,4,15.3,2,4.5,0.452,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0,0.6,1.2,5.3
Mason Plumlee,33,LAC,C,46,11,14.7,1.9,3.3,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3
Stanley Umude,24,DET,SG,24,2,12.8,1.5,3.5,0.44,1.2,1.3,0.906,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.7,5.3
Aleksej Pokusevski,22,MULTI,PF,28,0,14.5,1.8,4.3,0.405,1.1,1.5,0.732,0.6,2.6,3.2,1.3,0.5,0.5,0.7,0.8,5.2
Bol Bol,24,PHO,PF,43,0,10.9,2.2,3.5,0.616,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1,5.2
Brandon Boston Jr.,22,LAC,SF,32,0,10.8,2,5,0.404,0.7,1,0.697,0.6,1,1.6,0.4,0.3,0.3,0.8,1.3,5.2
Jarred Vanderbilt,24,LAL,PF,29,6,20,2,3.9,0.518,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2
Seth Curry,33,MULTI,SG,44,4,14,1.8,4.6,0.392,0.6,0.7,0.903,0.4,1.1,1.5,1,0.5,0.1,0.5,0.9,5.1
Drew Eubanks,26,PHO,C,75,6,15.6,2,3.4,0.601,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1
Bryce McGowens,21,CHO,SG,59,14,14.9,1.7,3.9,0.439,1.1,1.4,0.776,0.3,1.4,1.7,0.9,0.4,0.2,0.5,1.3,5.1
Richaun Holmes,30,MULTI,C,40,10,13.9,2.1,3.7,0.558,0.9,1.2,0.723,1.8,2.8,4.6,0.6,0.3,0.5,0.6,1.9,5
Monte Morris,28,MULTI,PG,33,0,14.4,1.9,4.6,0.405,0.4,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5
Monte Morris,28,DET,PG,6,0,11.3,2,5.5,0.364,0.2,0.3,0.5,0.3,1.7,2,1.3,0.2,0.2,0.3,0.2,4.5
Monte Morris,28,MIN,PG,27,0,15.1,1.9,4.4,0.417,0.4,0.6,0.706,0.2,1.5,1.7,2.3,0.7,0.3,0.2,0.5,5.1
Goga Bitadze,24,ORL,C,62,33,15.4,2,3.4,0.603,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5
Jevon Carter,28,CHI,PG,72,0,13.9,1.9,5.1,0.378,0.1,0.1,0.571,0.2,0.7,0.8,1.3,0.5,0.2,0.5,1,5
Devonte' Graham,28,SAS,PG,23,0,13.6,1.7,4.7,0.352,0.6,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6,5
Isaiah Livers,25,DET,PF,23,6,20.4,1.7,5,0.345,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5
Kobi Simmons,26,TOR,PG,4,0,16.8,2.3,5.3,0.429,0,0,,0.3,1.5,1.8,3,1.5,0.5,0.3,1.3,5
D.J. Wilson,27,PHI,PF,2,0,7.5,2,3,0.667,0,0,,0.5,0.5,1,1,0,1,0,0.5,5
Jalen Wilson,23,BRK,PF,43,3,15.4,1.8,4.2,0.425,0.9,1.1,0.826,1.1,2,3,1,0.3,0.1,0.4,1.1,5
Jock Landale,28,HOU,C,56,3,13.6,1.9,3.7,0.515,0.9,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9
Garrison Mathews,27,ATL,SG,66,5,15,1.6,3.4,0.456,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7,4.9
Jared Rhoden,24,DET,SG,17,0,14.4,1.9,3.9,0.5,0.3,0.5,0.625,0.2,1.8,1.9,0.8,0.2,0.8,0.4,1.6,4.9
Kobe Bufkin,20,ATL,SG,17,0,11.5,2,5.4,0.37,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8
DeJon Jarreau,26,MEM,SG,9,0,16.7,1.9,5.6,0.34,0.6,1.2,0.455,0.9,4,4.9,2.9,0.7,0.2,1,1.6,4.8
Eugene Omoruyi,26,WAS,SF,43,0,9.1,1.9,3.9,0.485,0.7,1.1,0.653,0.8,1.2,2,0.8,0.6,0.1,0.5,1.4,4.8
Kenrich Williams,29,OKC,PF,69,1,14.9,1.9,4.1,0.468,0.1,0.2,0.5,0.9,2.1,3,1.3,0.6,0.1,0.5,1.5,4.7
Kenneth Lofton Jr.,21,MULTI,PF,21,0,9.5,1.7,3.7,0.462,0.8,1.2,0.654,0.6,1.2,1.8,1.6,0.3,0.2,0.7,1.1,4.6
Anthony Black,20,ORL,PG,69,33,16.9,1.7,3.6,0.466,0.7,1.2,0.613,0.5,1.5,2,1.3,0.5,0.3,0.8,1.6,4.6
Josh Okogie,25,PHO,SG,60,11,16,1.4,3.4,0.417,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6
Omer Yurtseven,25,UTA,C,48,12,11.4,2.1,3.8,0.538,0.4,0.6,0.679,1.5,2.8,4.3,0.6,0.2,0.4,0.8,1.1,4.6
Shake Milton,27,MULTI,SG,48,0,12.1,1.6,4.1,0.405,0.8,1,0.816,0.3,1.3,1.6,1.3,0.4,0.1,0.6,1.1,4.5
Delon Wright,31,MULTI,PG,47,1,15.8,1.6,4,0.394,0.8,1,0.822,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.5
A.J. Green,24,MIL,SG,56,0,11,1.5,3.5,0.423,0.3,0.3,0.895,0.2,1,1.1,0.5,0.2,0.1,0.2,0.9,4.5
Kevon Looney,27,GSW,C,74,36,16.1,1.9,3.1,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5
Taze Moore,25,POR,SG,4,0,10,2,4.8,0.421,0.3,0.5,0.5,1,1,2,1.3,0.5,0,0.8,1,4.5
Julian Strawther,21,DEN,SF,50,0,10.9,1.6,4.4,0.369,0.4,0.6,0.71,0.1,1.1,1.2,0.9,0.3,0.1,0.5,1.1,4.5
Bismack Biyombo,31,MULTI,C,40,27,19.8,1.9,3.3,0.565,0.7,1.4,0.481,1.6,3.7,5.2,1.3,0.3,0.9,1.1,2.2,4.4
Robert Covington,33,MULTI,PF,29,6,16.8,1.5,3.4,0.439,0.8,0.9,0.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
Patrick Baldwin Jr.,21,WAS,SF,38,7,13,1.6,4.1,0.381,0.5,0.7,0.679,0.4,2.8,3.2,0.8,0.5,0.4,0.5,1.5,4.4
Mo Bamba,25,PHI,C,57,17,13,1.7,3.5,0.49,0.6,0.9,0.68,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4
Dominick Barlow,20,SAS,PF,33,1,12.7,1.7,3.4,0.496,0.9,1.3,0.69,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4
MarJon Beauchamp,23,MIL,SF,48,1,12.7,1.7,3.5,0.488,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4
Joe Ingles,36,ORL,SF,68,0,17.2,1.5,3.3,0.436,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3,4.4
Maxi Kleber,32,DAL,C,43,7,20.3,1.5,3.4,0.432,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4
Jontay Porter,24,TOR,PF,26,5,13.8,1.5,4,0.385,0.6,0.7,0.833,1,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4
Lester Quiñones,23,GSW,SG,37,0,10.6,1.5,3.8,0.397,0.5,0.8,0.69,0.6,1.4,1.9,1,0.2,0.1,0.5,1.2,4.4
Ben Sheppard,22,IND,SG,57,1,14.3,1.6,4,0.393,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0,0.3,1.5,4.4
Blake Wesley,20,SAS,SG,61,3,14.4,1.7,3.5,0.474,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4
Jeff Dowtin,26,PHI,PG,12,0,11.8,1.7,3,0.556,0.3,0.3,0.75,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3
Jaxson Hayes,23,LAL,C,70,5,12.5,1.8,2.5,0.72,0.7,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8,4.3
Caleb Houstan,21,ORL,SF,59,13,13.8,1.4,3.5,0.388,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1,4.3
John Konchar,27,MEM,SF,55,23,21.3,1.6,3.8,0.423,0.4,0.5,0.84,1.3,3.4,4.7,2,0.9,0.9,0.8,1.4,4.3
Dru Smith,26,MIA,SG,9,0,14.6,1.7,3.7,0.455,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3
Thaddeus Young,35,MULTI,PF,33,6,13.3,2,3.3,0.602,0.2,0.5,0.4,1.4,1.7,3.1,1.7,0.7,0.2,0.5,1.5,4.2
Jacob Gilyard,25,MULTI,PG,41,14,17,1.5,3.7,0.4,0,0,1,0.2,0.9,1.1,3.3,0.8,0.1,0.7,1,4.2
Armoni Brooks,25,BRK,PG,10,0,10.4,1.5,4.6,0.326,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
Troy Brown Jr.,24,MULTI,SF,59,15,14,1.4,3.8,0.372,0.5,0.6,0.865,0.4,2,2.4,1,0.4,0.1,0.5,0.7,4.2
Max Christie,20,LAL,SG,67,7,14.1,1.5,3.6,0.427,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2
Ashton Hagans,24,POR,PG,19,1,16.6,1.5,3.7,0.408,0.7,0.9,0.824,0.7,1.6,2.4,2.8,0.6,0.5,1.6,2.1,4.2
Danuel House Jr.,30,PHI,SF,34,4,15,1.4,3.1,0.448,1,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2
