Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chris Livingston,20,MIL,SF,21,0,4.3,0.5,1,0.5,0.1,0.2,0.75,0.1,0.9,1,0.2,0.1,0,0.2,0.7,1.2
Braxton Key,26,DEN,SF,20,0,3,0.4,0.9,0.412,0.3,0.4,0.75,0.2,0.8,0.9,0.5,0.1,0.1,0.1,0.3,1.1
Robin Lopez,35,MIL,C,16,2,4.1,0.4,1.2,0.368,0.1,0.1,1,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1
Admiral Schofield,26,ORL,PF,23,0,3.7,0.4,1.1,0.385,0,0.1,0,0.1,0.6,0.7,0.3,0,0,0.2,0.4,1.1
Hunter Tyson,23,DEN,PF,18,0,2.7,0.4,1.1,0.4,0,0,,0.1,0.4,0.5,0.1,0.1,0,0.1,0.6,1.1
Filip Petrušev,23,MULTI,C,3,0,3.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
Hamidou Diallo,25,WAS,SG,2,0,2.5,0.5,1,0.5,0,0,,1,0,1,0.5,1,0,0.5,0.5,1
Frank Ntilikina,25,CHO,PG,5,0,8.6,0.2,1.8,0.111,0.4,0.4,1,0.2,1,1.2,0.8,0,0,0.2,0.8,1
Joshua Primo,21,LAC,SG,2,0,5,0.5,1.5,0.333,0,0,,0.5,0,0.5,0,0,0.5,2,0,1
Thanasis Antetokounmpo,31,MIL,PF,34,0,4.6,0.5,0.9,0.533,0,0.1,0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9
James Johnson,36,IND,PF,9,0,5.2,0.3,1.1,0.3,0.2,0.2,1,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1,0.9
Charlie Brown Jr.,26,NYK,SG,8,0,4.6,0.3,1.3,0.2,0,0,,0.1,0.1,0.3,0,0,0.3,0.3,0.6,0.8
DaQuan Jeffries,26,NYK,SG,17,0,2.7,0.4,1,0.353,0,0.1,0,0,0.3,0.3,0.3,0,0.1,0.2,0.1,0.8
Shaquille Harrison,30,MEM,SG,3,0,2,0.3,0.7,0.5,0,0,,0,0.7,0.7,0,0,0.3,0,0,0.7
Quenton Jackson,25,IND,PG,3,0,3.7,0,0.3,0,0.7,0.7,1,0,1.3,1.3,0.7,0.3,0,0,0.3,0.7
Wendell Moore Jr.,22,MIN,SG,25,0,3,0.4,0.7,0.5,0,0,,0,0.5,0.5,0.2,0.2,0,0.2,0.2,0.7
Jalen Slawson,24,SAC,SF,12,0,3.1,0.3,0.5,0.667,0,0,,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.7,0.7
Pat Spencer,27,GSW,PG,6,0,4.3,0.3,0.7,0.5,0,0,,0.3,0.3,0.7,0.8,0,0,0.2,0.2,0.7
Alondes Williams,24,MIA,SG,7,0,2.3,0.3,1.1,0.25,0.1,0.1,1,0,0.1,0.1,0,0,0.1,0.3,0.3,0.7
Juan Toscano-Anderson,30,SAC,SF,11,0,4.8,0.3,1.1,0.25,0,0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6
Usman Garuba,21,GSW,PF,6,0,3,0.2,1,0.167,0.2,0.3,0.5,0.5,0.7,1.2,0.2,0.2,0.5,0.3,0.3,0.5
E.J. Liddell,23,NOP,PF,8,0,2.9,0.1,0.8,0.167,0.3,0.3,1,0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5
Pete Nance,23,CLE,PF,8,0,3.4,0.1,0.8,0.167,0,0.3,0,0,0.4,0.4,0,0.1,0,0.1,0.3,0.4
Maxwell Lewis,21,LAL,SF,34,0,3,0.1,0.6,0.19,0.1,0.1,0.667,0.1,0.1,0.1,0.2,0.1,0,0.3,0.1,0.3
Ryan Arcidiacono,29,NYK,PG,20,0,2.3,0,0.3,0,0,0,,0,0.4,0.4,0.2,0.1,0,0.1,0.3,0
Malcolm Cazalon,22,DET,SG,1,0,3,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Jalen Crutcher,24,NOP,PG,1,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
Andrew Funk,24,CHI,SG,5,0,2.6,0,0.8,0,0,0,,0,0,0,0,0.2,0.2,0,0,0
Kaiser Gates,27,NOP,SF,1,0,7,0,4,0,0,0,,0,1,1,0,0,0,0,0,0
Danny Green,36,PHI,SG,2,0,9,0,1,0,0,0,,0,1,1,0.5,0.5,0,0,0.5,0
Ron Harper Jr.,23,TOR,PF,1,0,4,0,0,,0,0,,0,0,0,1,0,0,0,2,0
Justin Jackson,28,MIN,SF,2,0,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Dmytro Skapintsev,25,NYK,C,2,0,1,0,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Javonte Smart,24,PHI,PG,1,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0
